address,latitude,longitude
3045 DAWSON LN SW,33.67265,-84.51
1971 EAST AVE NW,33.78625,-84.45258
2964 PEACHTREE RD NW,33.83523,-84.38237
2260 CASCADE RD SW,33.72228,-84.46253
234 8TH ST NE,33.77961,-84.3794
732 WATERFORD RD NW,33.77161,-84.48888
1928 VELMA ST SE,33.70138,-84.35568
2060 NORTH AVE NW,33.76903,-84.45584
275 10TH ST NE,33.78143,-84.37829
2280 CAMPBELLTON RD SW,33.70473,-84.4623
1115 PONCE DE LEON AVE NE ,33.77345,-84.35097
590 W PEACHTREE ST NW,33.77023,-84.38815
815  CARTER ST NW,33.75617,-84.41285
720 ANGIER AVE NE,33.77073,-84.36488
838 BRIARCLIFF TER NE,33.77735,-84.35021
2176 BELVEDERE AVE SW,33.72057,-84.45971
1052 ALLENE AVE SW,33.72611,-84.41333
1135 SPRING ST NW,33.78552,-84.38911
1941 DELOWE DR SW,33.70199,-84.45767
765 JONES AVE NW,33.76444,-84.41247
357 CANDLER ST NE,33.7641,-84.34533
1650 STOKES AVE SW,33.74071,-84.44186
596 WAYNES CT SE,33.67044,-84.36965
1724 RIDGE VALLEY CT NW,33.83181,-84.44306
301 PROSPECT PL NE,33.76257,-84.36889
1960 PINEDALE DR NW,33.76551,-84.45111
3221 MARTIN L KING JR DR NW,33.75284,-84.49256
692 MYRTLE ST NE,33.77352,-84.38054
548 NORTHSIDE DR NW,33.76958,-84.40482
2150 SOUTHWOOD COVE SW,33.69518,-84.51856
59 CHESTER AVE SE,33.75225,-84.35919
675 EDGEWOOD AVE NE,33.75427,-84.36495
309 WELLINGTON ST SW,33.74678,-84.43904
3615 STONE RD SW,33.67856,-84.50596
679 LAWTON ST SW,33.73648,-84.42368
1997 DELOWE DR SW,33.70011,-84.45772
207 13TH ST NE,33.78518,-84.38053
3179 PEACHTREE DR NE,33.84157,-84.36284
721 HILLSIDE VILLAGE DR SE,33.74048,-84.31618
3435 LENOX RD NE,33.84878,-84.36001
515 FULTON ST,33.741,-84.40447
1538 GLENWOOD AVE SE,33.74024,-84.33729
855 PIEDMONT AVE NE,33.77794,-84.38083
2019 ROBSON PL NE,33.75603,-84.32141
WHITE ST SW / LEE ST SW,33.72933,-84.41585
103 FORT ST NE,33.75598,-84.37795
417 10TH ST NE,33.78168,-84.37345
2034 CHICAGO AVE,33.76457,-84.4537
2481 BENJAMIN E MAYS DR SW,33.72442,-84.46927
3800 CAMP CREEK PKWY SW,33.65509,-84.51091
1195 WOODLAND AVE NE,33.81404,-84.34892
3871 REDWINE PKWY,33.65994,-84.50967
1232 FAYETTEVILLE RD SE,33.72051,-84.32918
3199 SAVILLE ST SW,33.66699,-84.5159
CAMPBELLTON/COUNTY LINE RD. SW,33.69526,-84.53435
2012 MEMORIAL DRIVE S.E.,33.7479,-84.32178
3442 RIDGEWOOD RD NW,33.84922,-84.44708
1514 VAN EPPS ST SE,33.73741,-84.33861
1374 BENTEEN WAY SE,33.71799,-84.36639
1020 SMITH ST SW,33.72702,-84.4006
2679 GEORGE ST NW,33.81556,-84.47562
12TH ST NE / JUNIPER ST NE,33.78437,-84.38222
951 VIRGINIA AVE NE,33.78194,-84.35621
1070 N. HIGHLAND AVE NE,33.78394,-84.35478
3644 HAMPSHIRE PARK WAY SW,33.68219,-84.50817
1361 SYLVAN RD SW,33.71779,-84.41819
393 ATWOOD ST SW,33.7443,-84.42896
363 HILL ST SE,33.74477,-84.37964
3385 HAMILTON BLVD SE,33.66224,-84.38691
70 WHITEFOORD AVE SE,33.75155,-84.34191
41 IRBY AVE,33.84152,-84.38026
670 WALDO ST SE,33.73597,-84.36671
204 BOWEN CIR SW,33.71687,-84.39485
1275 OAKLAND DR SW,33.72009,-84.42772
211 MEMORIAL DR SE,33.74622,-84.38115
398 BAKER CIR NW,33.76798,-84.46077
2460 PEACHTREE ROAD,33.82226,-84.38851
2524 MARTIN LUTHER KING,33.75285,-84.47033
2970 PEACHTREE RD NW,33.83631,-84.38305
CENTENNIAL OLYMPIC P DR NW / SIMPSON ST NW,33.76334,-84.39201
1772 MAPLE CIR SW         ,33.7057,-84.39808
514 CITYVIEW CT NE,33.7707,-84.37853
717 KIRKWOOD AVE SE,33.74992,-84.36377
793 GRANT TER SE,33.73281,-84.38012
2641 COUNTY LINE RD SW,33.68305,-84.53728
2173 NELMS DR SW,33.69508,-84.40099
3800 WENDELL DRIVE,33.79392,-84.50078
45 DECATUR STREET,33.7534,-84.38833
875 CONLEY RD SE,33.64897,-84.36128
1676 HABERSHAL DR NW,33.79009,-84.44528
1824 MURPHY AVE SW,33.70496,-84.42659
2809 PEACHTREE RD NE,33.83149,-84.38547
3769 LANDAU LN SW,33.71297,-84.50584
660 9TH NW,33.78051,-84.40903
1020 OGLETHORPE AVE SW,33.73571,-84.42141
121 PINE ST NW,33.76778,-84.39095
475 MELLVIEW AVE SW,33.71794,-84.40321
1177 WOODLAND AVE NE,33.81452,-84.34917
200 CARVER CIR NW,33.75957,-84.45756
1574 ELIXIR AVE SW,33.74861,-84.43896
230 SPRING ST NW,33.74789,-84.39808
3099 PANTHER TRL SW,33.69931,-84.48914
3781 MARTIN L KING JR DR SW,33.76797,-84.51322
2283 CORONET WAY NW,33.81786,-84.44681
2079 JOSEPH E BOONE,33.76401,-84.45609
3030 HEADLAND DR SW,33.68841,-84.48742
W PEACHTREE ST NE / PONCE DE LEON AVE NE,33.77229,-84.38735
625 JOSEPH E LOWERY BLVD NW,33.77187,-84.41726
LONGLEAF DR NE / N STRATFORD RD NE,33.85609,-84.36785
540 HUMPHRIES ST S.W,33.7399,-84.40488
LEE ST SW / I-20 EB RAMP SW,33.74097,-84.41406
1 HAYGOOD AVE,33.72647,-84.38789
750 PIEDMONT AVE NE,33.77504,-84.38187
2267 JONESBORO RD SE,33.69205,-84.36595
644 N HIGHLAND AVE NE,33.77183,-84.3529
3728 LANDAU LN SW,33.71374,-84.50347
254 AMAL DR SW,33.70591,-84.39641
339 NELSON ST SW,33.75149,-84.39906
490 FAIRBURN RD SW,33.74107,-84.50997
2948 PEEK RD NW,33.77525,-84.48315
26 HAYNES ST SW ,33.7537,-84.40139
826 WESTMONT RD SW,33.73278,-84.43711
1890 MYRTLE DR SW,33.70405,-84.45488
3294 HAZELWOOD DR SW,33.72733,-84.49612
251 BANBERRY DR SE,33.68791,-84.38144
183 MOUNT ZION RD SE,33.67299,-84.39626
1302 EUCLID AVE NE,33.76839,-84.34533
2045 HATTERAS WAY NW,33.81032,-84.47963
59 GAMMON AVE SE,33.71806,-84.38624
1102 JOSEPH E BOONE BLVD NW,33.76328,-84.42362
2305 DONALD LEE HOLLOWELL PKWY NW,33.77704,-84.46053
390 STOVALL ST,33.74366,-84.3541
3040 HEADLAND DR,33.68947,-84.48805
50 ALABAMA ST,33.75194,-84.38964
2967 SLATON DR,33.836,-84.3871
371 CLEVELAND CIR SW,33.68519,-84.4014
505 PHARR ROAD NE,33.83653,-84.37167
135 HILLTOP DR SW,33.69939,-84.39448
35 FORSYTH ST SW,33.75343,-84.39312
412 EDGEWOOD AVE NE,33.75455,-84.37409
751 CUSTER AVE SE,33.71685,-84.36337
546 FORMWALT ST SW,33.73987,-84.39562
1387 RICHLAND RD SW,33.73104,-84.43306
1007 METROPOLITAN PKWY SW,33.72744,-84.40826
119 MAYSON AVE NE,33.75666,-84.33834
317 SKIPPER PL NW,33.78099,-84.49013
11700 SPINE RD,33.64257,-84.42896
679 HARWELL RD NW,33.77375,-84.49531
2024 ARLINGTON CIR NW,33.77073,-84.45311
85 MT ZION RD SE,33.67345,-84.39183
1993 BENT CREEK WAY SW,33.70109,-84.46607
1396 GAULT ST SE,33.71618,-84.37203
3360 WELCOME ALL RD SW,33.66215,-84.52228
875 YORK AVE SW,33.73745,-84.41644
